title,description,file_type,access_level,download_cost,candidate_path,category_hint,priority,size_mb,promotion_note
주요 대학 및 학과 권장도서 모음집,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/주요_대학_및_학과_권장도서_모음집.pdf,수업_교재,2,5.07,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
강남 키즈가 말하는 학군의 중요성 by 맨스파이어 20250904,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/강남_키즈가_말하는_학군의_중요성_by_맨스파이어_from_Youtube_to_Gamma_20250904.pdf,수업_교재,2,5.21,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
250617 대한민국 진짜성장을 위한 전략,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/250617_대한민국_진짜성장을_위한_전략.pdf,수업_교재,2,5.26,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
2024 통일의식 조사 서울대학교 통일평화연구원 20241130,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/2024_통일의식_조사_서울대학교_통일평화연구원_20241130.pdf,수업_교재,2,5.54,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
20250926 edusky databook,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/20250926_edusky_databook.pdf,수업_교재,2,5.96,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
이세돌 전 바둑기사 인공지능도 이기는 멘탈 갖추는 법 by 지식인사이드 20250118,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/이세돌_전_바둑기사_인공지능도_이기는_멘탈_갖추는_법_by_지식인사이드_from_Youtube_to_Gamma_20250118.pdf,수업_교재,2,5.96,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
9 v0721 바이오리포트 기타 최종,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/9_v0721_바이오리포트_기타_최종.pdf,수업_교재,2,6.07,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
초등 국어 공부법 민성원,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/초등_국어_공부법_민성원.pdf,수업_교재,2,6.09,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
2025 중등 논술형 평가 길라잡이,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_논술형_평가_길라잡이.pdf,수업_교재,2,6.16,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
빅뱅에서 고대 문명까지 지구와 인류의 초기 역사 개관 by 쏨작가의 지식사전 20200929,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/빅뱅에서_고대_문명까지_지구와_인류의_초기_역사_개관_by_쏨작가의_지식사전_from_Youtube_to_Gamma_20200929.pdf,수업_교재,2,6.38,검수 항목에서 자동 승격(제목 정제 + 카테고리 재지정)
