title,description,file_type,access_level,download_cost,candidate_path,category_hint,priority,size_mb,promotion_note
읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory) (1),수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory)_(1).pdf,수업_교재,2,38.67,검수 잔여분 2차 승격 패키지
읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory),수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory).pdf,수업_교재,2,38.67,검수 잔여분 2차 승격 패키지
전 세계 위인들이 인정한 역사상 최고의 천재 by 범준에 물리다 with 수학자 김상현 교수 20250531,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/전_세계_위인들이_인정한_역사상_최고의_천재_by_범준에_물리다_with_수학자_김상현_교수_from_Youtube_to_NotebookLM_Slide_20250531.pdf,수업_교재,2,20.91,검수 잔여분 2차 승격 패키지
나와 함께 준비하는 중학생활(수정본),수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/나와_함께_준비하는_중학생활(수정본).pdf,수업_교재,2,19.64,검수 잔여분 2차 승격 패키지
2025 미리 보는 중학교 생활 「중학교 가는 길」,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/2025_미리_보는_중학교_생활_「중학교_가는_길」.pdf,수업_교재,2,19.15,검수 잔여분 2차 승격 패키지
돈과 국가 신뢰의 200년,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/돈과_국가_신뢰의_200년.pdf,수업_교재,2,17.36,검수 잔여분 2차 승격 패키지
WTP Education 토론 주제 모음 매우 유용,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,docx,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/WTP_Education_토론_주제_모음_매우_유용.docx,수업_교재,2,16.92,검수 잔여분 2차 승격 패키지
목숨이 걸린 상황에서 내가 살 수 있는 방법은 물리학 VS 수학 by 범준에 물리다 with 수학자 김상현 교수 20250524,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/목숨이_걸린_상황에서_내가_살_수_있는_방법은_물리학_VS_수학_by_범준에_물리다_with_수학자_김상현_교수_from_Youtube_to_NotebookLM_Slide_20250524.pdf,수업_교재,2,15.64,검수 잔여분 2차 승격 패키지
선배들이 말하는 나의 학종 성공법,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,pdf,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/선배들이_말하는_나의_학종_성공법.pdf,수업_교재,2,15.22,검수 잔여분 2차 승격 패키지
250121 조간 (보도) 인공지능 융합이 강조된 2025년 바이오 미래유망기술 발표,수업 설계와 과제 운영에 활용 가능한 교재/학습 자료입니다.,hwp,bronze,0,/Volumes/Untitled/업로드 후보_v2/기타/250121_조간_(보도)_인공지능_융합이_강조된_2025년_바이오_미래유망기술_발표.hwpx,수업_교재,2,15.01,검수 잔여분 2차 승격 패키지
