batch_no,order_in_batch,source,title,category_hint,file_type,size_mb,candidate_path
batch_1,1,promoted30,주요 대학 및 학과 권장도서 모음집,수업_교재,pdf,5.07,/Volumes/Untitled/업로드 후보_v2/기타/주요_대학_및_학과_권장도서_모음집.pdf
batch_1,2,wave1,[당그팀]26학년도 수능 분석본,입시_진학,pdf,5.10,/Volumes/Untitled/업로드 후보_v2/기타/[당그팀]26학년도_수능_분석본.pdf
batch_1,3,wave1,22개정 중학 국어1 토의토론배움깊이더하기자료집(학생용),정책_공문,pdf,5.48,/Volumes/Untitled/업로드 후보_v2/기타/22개정_중학_국어1_토의토론배움깊이더하기자료집(학생용).pdf
batch_1,4,wave1,펜을 만드는 학원 0215 2024,학원운영,docx,6.00,/Volumes/Untitled/업로드 후보_v2/기타/펜을_만드는_학원_0215_2024.docx
batch_1,5,wave1,[2026학년도][인피니트수학연구소][대학수학능력시험 분석지],데이터_분석,pdf,6.20,/Volumes/Untitled/업로드 후보_v2/기타/[2026학년도][인피니트수학연구소][대학수학능력시험_분석지].pdf
batch_1,6,wave1,2025 찾아가는 학부모 고입진로설명회 자료집(게시용),상담_학부모,pdf,7.24,/Volumes/Untitled/업로드 후보_v2/기타/2025_찾아가는_학부모_고입진로설명회_자료집(게시용).pdf
batch_1,7,wave1,워크북 시즌5,수업_교재,pdf,5.86,/Volumes/Untitled/업로드 후보_v2/기타/워크북_시즌5.pdf
batch_1,8,wave1,2026 정시 대학별분석3 수도권대학교 책갈피 추가 by 훈선생 압축,입시_진학,pdf,5.25,/Volumes/Untitled/업로드 후보_v2/기타/2026_정시_대학별분석3_수도권대학교_책갈피_추가_by_훈선생_압축.pdf
batch_1,9,wave1,[도교육청]2026. 면접자료 정리해DREAM,정책_공문,pdf,5.66,/Volumes/Untitled/업로드 후보_v2/기타/[도교육청]2026._면접자료_정리해DREAM.pdf
batch_1,10,wave1,초등학교 학부모 수학 가이드북(1학년2학기) (2),상담_학부모,pdf,19.74,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(1학년2학기)_(2).pdf
batch_1,11,promoted30,초등 국어 공부법 민성원,수업_교재,pdf,6.09,/Volumes/Untitled/업로드 후보_v2/기타/초등_국어_공부법_민성원.pdf
batch_1,12,wave1,(강좌3) 어디가를 활용한 진로진학설계 방안 울산광역시교육청,입시_진학,pdf,5.48,/Volumes/Untitled/업로드 후보_v2/기타/(강좌3)_어디가를_활용한_진로진학설계_방안_울산광역시교육청.pdf
batch_1,13,wave1,[세종시교육청] 2024 보인다 9.0 대학 전공학과 길라잡이,정책_공문,pdf,6.09,/Volumes/Untitled/업로드 후보_v2/기타/[세종시교육청]_2024_보인다_9.0_대학_전공학과_길라잡이.pdf
batch_1,14,wave1,초등학교 학부모 수학 가이드북(2학년1학기) (2),상담_학부모,pdf,21.03,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(2학년1학기)_(2).pdf
batch_1,15,promoted30,고2 독서 by 밋mit,수업_교재,pdf,6.70,/Volumes/Untitled/업로드 후보_v2/기타/고2_독서_by_밋mit.pdf
batch_1,16,wave1,(원고) 2026~2027 대입전형의 이해와 효율적인 지도 방안(숭의여교-정제원) (1),입시_진학,pdf,6.45,/Volumes/Untitled/업로드 후보_v2/기타/(원고)_2026~2027_대입전형의_이해와_효율적인_지도_방안(숭의여교-정제원)_(1).pdf
batch_1,17,wave1,(250422)2025. 학교생활기록부 기재 역량강화 연수 강의원고(중마고 박서영),수업_교재,pdf,7.42,/Volumes/Untitled/업로드 후보_v2/기타/(250422)2025._학교생활기록부_기재_역량강화_연수_강의원고(중마고_박서영).pdf
