id,title,derived_category,file_type,downloads_count,created_at
1,주요 대학 및 학과 권장도서 모음집,수업/교재,pdf,0,2026-03-06T08:23:34.893952+00:00
2,[당그팀]26학년도 수능 분석본,입시/진학,pdf,0,2026-03-06T08:23:37.539243+00:00
3,22개정 중학 국어1 토의토론배움깊이더하기자료집(학생용),정책/공문,pdf,0,2026-03-06T08:23:39.071246+00:00
4,펜을 만드는 학원 0215 2024,학원운영,docx,0,2026-03-06T08:23:41.732579+00:00
5,[2026학년도][인피니트수학연구소][대학수학능력시험 분석지],데이터/분석,pdf,0,2026-03-06T08:23:43.413836+00:00
6,2025 찾아가는 학부모 고입진로설명회 자료집(게시용),상담/학부모,pdf,0,2026-03-06T08:23:44.937176+00:00
7,워크북 시즌5,수업/교재,pdf,0,2026-03-06T08:23:46.40832+00:00
8,2026 정시 대학별분석3 수도권대학교 책갈피 추가 by 훈선생 압축,입시/진학,pdf,0,2026-03-06T08:23:47.985055+00:00
9,[도교육청]2026. 면접자료 정리해DREAM,정책/공문,pdf,0,2026-03-06T08:23:49.627325+00:00
10,초등학교 학부모 수학 가이드북(1학년2학기) (2),상담/학부모,pdf,0,2026-03-06T08:23:52.716307+00:00
11,초등 국어 공부법 민성원,수업/교재,pdf,0,2026-03-06T08:23:54.299699+00:00
12,(강좌3) 어디가를 활용한 진로진학설계 방안 울산광역시교육청,입시/진학,pdf,0,2026-03-06T08:23:56.377105+00:00
13,[세종시교육청] 2024 보인다 9.0 대학 전공학과 길라잡이,정책/공문,pdf,0,2026-03-06T08:23:57.78231+00:00
14,초등학교 학부모 수학 가이드북(2학년1학기) (2),상담/학부모,pdf,0,2026-03-06T08:24:00.835961+00:00
15,고2 독서 by 밋mit,수업/교재,pdf,0,2026-03-06T08:24:03.198974+00:00
16,(원고) 2026~2027 대입전형의 이해와 효율적인 지도 방안(숭의여교-정제원) (1),입시/진학,pdf,0,2026-03-06T08:24:04.950059+00:00
17,(250422)2025. 학교생활기록부 기재 역량강화 연수 강의원고(중마고 박서영),수업/교재,pdf,0,2026-03-06T08:24:06.494923+00:00
18,49. 도심의 변화에 따른 기존학교(중학교) 균형 배치 연구,수업/교재,pdf,0,2026-03-06T08:24:08.28164+00:00
19,서울대생이 추천하는 '중·고등학교 때 꼭 읽어보면 좋을 책 by 스튜디오S 20240827,수업/교재,pdf,0,2026-03-06T08:24:09.893108+00:00
