wave,title,category_hint,file_type,size_mb,candidate_path
wave2,2027학년도 중앙대학교 입학전형시행계획,입시_진학,pdf,9.40,/Volumes/Untitled/업로드 후보_v2/기타/2027학년도_중앙대학교_입학전형시행계획.pdf
wave2,[고등학교]고교학점제와 학생부 차별화 전략 학남고 은동현(배포용),입시_진학,pdf,9.60,/Volumes/Untitled/업로드 후보_v2/기타/[고등학교]고교학점제와_학생부_차별화_전략_학남고_은동현(배포용).pdf
wave2,쎈(SEN)진학 2026 대입 수시 대학별 분석Ⅰ 서울권 일반대학교,입시_진학,pdf,9.65,/Volumes/Untitled/업로드 후보_v2/기타/쎈(SEN)진학_2026_대입_수시_대학별_분석Ⅰ_서울권_일반대학교.pdf
wave2,김영일교육컨설팅 2026 수시배치표(인문2면),입시_진학,pdf,9.72,/Volumes/Untitled/업로드 후보_v2/기타/김영일교육컨설팅_2026_수시배치표(인문2면).pdf
wave2,보인다 8.0 학부모 진로 진학 Q&A 100선 웹용-최종(20240930) 파트5,입시_진학,pdf,9.72,/Volumes/Untitled/업로드 후보_v2/기타/보인다_8.0_학부모_진로_진학_Q&A_100선_웹용-최종(20240930)_파트5.pdf
wave2,보인다 8.0 학부모 진로 진학 Q&A 100선 웹용-최종(20240930) 파트2,입시_진학,pdf,9.76,/Volumes/Untitled/업로드 후보_v2/기타/보인다_8.0_학부모_진로_진학_Q&A_100선_웹용-최종(20240930)_파트2.pdf
wave2,보인다 8.0 학부모 진로 진학 Q&A 100선 웹용-최종(20240930) 파트4,입시_진학,pdf,9.77,/Volumes/Untitled/업로드 후보_v2/기타/보인다_8.0_학부모_진로_진학_Q&A_100선_웹용-최종(20240930)_파트4.pdf
wave2,보인다 8.0 학부모 진로 진학 Q&A 100선 웹용-최종(20240930) 파트1,입시_진학,pdf,9.81,/Volumes/Untitled/업로드 후보_v2/기타/보인다_8.0_학부모_진로_진학_Q&A_100선_웹용-최종(20240930)_파트1.pdf
wave2,보인다 8.0 학부모 진로 진학 Q&A 100선 웹용-최종(20240930) 파트3,입시_진학,pdf,9.89,/Volumes/Untitled/업로드 후보_v2/기타/보인다_8.0_학부모_진로_진학_Q&A_100선_웹용-최종(20240930)_파트3.pdf
wave2,2-2. 성공적인 진학지도,입시_진학,pdf,9.95,/Volumes/Untitled/업로드 후보_v2/기타/2-2._성공적인_진학지도.pdf
wave2,2025학년도 부산교육청 수시모집 대비 면접자료집,입시_진학,pdf,9.97,/Volumes/Untitled/업로드 후보_v2/기타/2025학년도_부산교육청_수시모집_대비_면접자료집.pdf
wave2,KHU Alliance 진로진학상담교사 워크숍 자료집,입시_진학,pdf,10.17,/Volumes/Untitled/업로드 후보_v2/기타/KHU_Alliance_진로진학상담교사_워크숍_자료집.pdf
wave2,2025 대입 수시모집 대비 면접자료집 부산광역시교육청 20240915,입시_진학,pdf,10.18,/Volumes/Untitled/업로드 후보_v2/기타/2025_대입_수시모집_대비_면접자료집_부산광역시교육청_20240915.pdf
wave2,2026 대입의 이해와 대비(전남교육청 면목고 이재영),입시_진학,pdf,10.30,/Volumes/Untitled/업로드 후보_v2/기타/2026_대입의_이해와_대비(전남교육청_면목고_이재영).pdf
wave2,2 쎈(SEN)진학 2026 대입 수시 대학별 분석Ⅰ(서울권),입시_진학,pdf,11.19,/Volumes/Untitled/업로드 후보_v2/기타/2_쎈(SEN)진학_2026_대입_수시_대학별_분석Ⅰ(서울권).pdf
wave2,대입제도의변화와선택형교육과정지도사례(목포고 송미강),입시_진학,pdf,11.28,/Volumes/Untitled/업로드 후보_v2/기타/대입제도의변화와선택형교육과정지도사례(목포고_송미강).pdf
wave2,쎈(SEN)진학 2026 정시 대학별분석1 서울권 일반대학교 책갈피 추가 by 훈선생,입시_진학,pdf,11.81,/Volumes/Untitled/업로드 후보_v2/기타/쎈(SEN)진학_2026_정시_대학별분석1_서울권_일반대학교_책갈피_추가_by_훈선생.pdf
wave2,고등학생+대입정보+가이드북 (1),입시_진학,pdf,12.13,/Volumes/Untitled/업로드 후보_v2/기타/고등학생+대입정보+가이드북_(1).pdf
