stage,stage_reason,title,category_hint,file_type,size_mb,priority,candidate_path
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,시장상황분석 정의와 실제 활용 전략 by felo AI slide 2025004,데이터_분석,pdf,22.76,3,/Volumes/Untitled/업로드 후보_v2/기타/시장상황분석_정의와_실제_활용_전략_by_felo_AI_slide_2025004.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,최신 IT현업자 연봉현황 맥비기획톡방 2022-24년 설문결과분석,데이터_분석,pdf,19.34,3,/Volumes/Untitled/업로드 후보_v2/기타/최신_IT현업자_연봉현황_맥비기획톡방_2022-24년_설문결과분석.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,이중 진자 운동과 홈런 타자 스윙의 상관 관계 분석 by NotebookLM Slide,데이터_분석,pdf,14.05,3,/Volumes/Untitled/업로드 후보_v2/기타/이중_진자_운동과_홈런_타자_스윙의_상관_관계_분석_by_NotebookLM_Slide.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,런던 베이글 뮤지엄 시장 분석 및 미래 전략 by Felo Agent Report to PDF 20250818,데이터_분석,pdf,12.29,3,/Volumes/Untitled/업로드 후보_v2/기타/런던_베이글_뮤지엄_시장_분석_및_미래_전략_by_Felo_Agent_Report_to_PDF_20250818.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,연구보고서 2024-29 고령친화산업 실태 및 성장잠재력 분석과 발전과제,데이터_분석,pdf,8.58,3,/Volumes/Untitled/업로드 후보_v2/기타/연구보고서_2024-29_고령친화산업_실태_및_성장잠재력_분석과_발전과제.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,3 v0721 바이오리포트 빅데이터 최종,데이터_분석,pdf,7.74,3,/Volumes/Untitled/업로드 후보_v2/기타/3_v0721_바이오리포트_빅데이터_최종.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,[자료 1]2025년 연간 도서판매 동향 및 베스트셀러 분석,데이터_분석,pdf,6.68,3,/Volumes/Untitled/업로드 후보_v2/기타/[자료_1]2025년_연간_도서판매_동향_및_베스트셀러_분석.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,[2026학년도][인피니트수학연구소][대학수학능력시험 분석지],데이터_분석,pdf,6.20,3,/Volumes/Untitled/업로드 후보_v2/기타/[2026학년도][인피니트수학연구소][대학수학능력시험_분석지].pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,학교생활기록부 작성을 위한 최종 체크리스트- 별가람고 전소영,상담_학부모,pdf,48.15,3,/Volumes/Untitled/업로드 후보_v2/기타/학교생활기록부_작성을_위한_최종_체크리스트-_별가람고_전소영.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,초등학교 학부모 수학 가이드북(1학년1학기) (2),상담_학부모,pdf,25.79,3,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(1학년1학기)_(2).pdf
