path,filename,ext,size_mb,category_hint,priority
"/Volumes/Untitled/업로드 전/수특영어_part1.zip","수특영어_part1.zip",zip,280.96,"기타",3
"/Volumes/Untitled/업로드 전/인천광역시교육청_초등 수학 씨리즈2_20222 개정 교육과정.zip","인천광역시교육청_초등 수학 씨리즈2_20222 개정 교육과정.zip",zip,264.94,"기타",3
"/Volumes/Untitled/업로드 전/대학 전공별 경력 가이드_취합.zip","대학 전공별 경력 가이드_취합.zip",zip,258.46,"기타",3
"/Volumes/Untitled/업로드 전/2026학년도 수시 모집요강_3.zip","2026학년도 수시 모집요강_3.zip",zip,243.58,"기타",3
"/Volumes/Untitled/업로드 전/2026학년도 수시 모집요강_5.zip","2026학년도 수시 모집요강_5.zip",zip,229.91,"기타",3
"/Volumes/Untitled/업로드 전/26학년도 수시모집요강_2.zip","26학년도 수시모집요강_2.zip",zip,193.49,"기타",3
"/Volumes/Untitled/업로드 전/김영일교육컨설팅 2026학년도 데이터로 읽는 수시 전형 책자(최종) (1).pdf","김영일교육컨설팅 2026학년도 데이터로 읽는 수시 전형 책자(최종) (1).pdf",pdf,190.46,"기타",3
"/Volumes/Untitled/업로드 전/20220513_박윤수_소행성_편광.pptx","20220513_박윤수_소행성_편광.pptx",pptx,185.10,"기타",3
"/Volumes/Untitled/업로드 전/2026학년도 수시 모집요강_4.zip","2026학년도 수시 모집요강_4.zip",zip,184.03,"기타",3
"/Volumes/Untitled/업로드 전/26학년도 수시 모집요강_1.zip","26학년도 수시 모집요강_1.zip",zip,143.82,"기타",3
"/Volumes/Untitled/업로드 전/CHA  미래교육협의체 학부모대상 프로그램-2부(260127)_인항고 허진석 선생님_20260128.pdf","CHA  미래교육협의체 학부모대상 프로그램-2부(260127)_인항고 허진석 선생님_20260128.pdf",pdf,137.52,"기타",3
"/Volumes/Untitled/업로드 전/20220903-태양진동학-강수상.pptx","20220903-태양진동학-강수상.pptx",pptx,131.10,"기타",3
