path,filename,ext,size_bytes,category_hint
"/Volumes/Untitled/업로드 전/_28일 작전 수리논술_모의고사 1회 해설.pdf","_28일 작전 수리논술_모의고사 1회 해설.pdf",pdf,2735567,"기타"
"/Volumes/Untitled/업로드 전/'평가원 2026 수능 시행계획 보도자료' 분석.pdf","'평가원 2026 수능 시행계획 보도자료' 분석.pdf",pdf,89692,"기타"
"/Volumes/Untitled/업로드 전/(2부)다이어트 무조건 성공하는 과학적 방법은 이겁니다_카이스트 뇌인지과학과 김대수 교수_from Youtube to Lilys_20250729.pdf","(2부)다이어트 무조건 성공하는 과학적 방법은 이겁니다_카이스트 뇌인지과학과 김대수 교수_from Youtube to Lilys_20250729.pdf",pdf,630958,"기타"
"/Volumes/Untitled/업로드 전/(2부)다이어트 무조건 성공하는 과학적 방법은 이겁니다_카이스트 뇌인지과학과 김대수 교수_from Youtube to Lilys(타임라인 요약)_20250729.pdf","(2부)다이어트 무조건 성공하는 과학적 방법은 이겁니다_카이스트 뇌인지과학과 김대수 교수_from Youtube to Lilys(타임라인 요약)_20250729.pdf",pdf,1030959,"기타"
"/Volumes/Untitled/업로드 전/(5주차 1교시)사회와 교육제도 변화에 따른 진로진학 설계전략_조진표 교수.pdf","(5주차 1교시)사회와 교육제도 변화에 따른 진로진학 설계전략_조진표 교수.pdf",pdf,4810131,"기타"
"/Volumes/Untitled/업로드 전/(7화)머스크 vs 이재용 같은 목표 다른 선택_코리아 디스카운트(7화)_by 언더스탠딩 with 와이즈포레스트 천준범 변호사_from Youtube to Lilys_20250801.pdf","(7화)머스크 vs 이재용 같은 목표 다른 선택_코리아 디스카운트(7화)_by 언더스탠딩 with 와이즈포레스트 천준범 변호사_from Youtube to Lilys_20250801.pdf",pdf,1127598,"기타"
"/Volumes/Untitled/업로드 전/(25.11.10.) 인공지능 인재 양성 방안 교육부 브리핑_by KTV 국민방송_from Youtube to Lilys_20251110.pdf","(25.11.10.) 인공지능 인재 양성 방안 교육부 브리핑_by KTV 국민방송_from Youtube to Lilys_20251110.pdf",pdf,1418855,"기타"
"/Volumes/Untitled/업로드 전/(2025-8)부산광역시교육청 관내 고교 5등급제 성적 분석 자료.pdf","(2025-8)부산광역시교육청 관내 고교 5등급제 성적 분석 자료.pdf",pdf,131376,"기타"
"/Volumes/Untitled/업로드 전/(250422)2025. 학교생활기록부 기재 역량강화 연수 강의원고(중마고_박서영).pdf","(250422)2025. 학교생활기록부 기재 역량강화 연수 강의원고(중마고_박서영).pdf",pdf,7783235,"기타"
"/Volumes/Untitled/업로드 전/(강의1) 2028 대입개편안에 따른 진로진학설계.pdf","(강의1) 2028 대입개편안에 따른 진로진학설계.pdf",pdf,7490202,"기타"
