priority,category_hint,src_path,dst_path,size_mb
3,기타,"/Volumes/Untitled/업로드 전/수특영어_part1.zip","/Volumes/Untitled/업로드 후보_v2/기타/수특영어_part1.zip",280.96
3,기타,"/Volumes/Untitled/업로드 전/인천광역시교육청_초등 수학 씨리즈2_20222 개정 교육과정.zip","/Volumes/Untitled/업로드 후보_v2/기타/인천광역시교육청_초등_수학_씨리즈2_20222_개정_교육과정.zip",264.94
3,기타,"/Volumes/Untitled/업로드 전/대학 전공별 경력 가이드_취합.zip","/Volumes/Untitled/업로드 후보_v2/기타/대학_전공별_경력_가이드_취합.zip",258.46
3,기타,"/Volumes/Untitled/업로드 전/2026학년도 수시 모집요강_3.zip","/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_수시_모집요강_3.zip",243.58
3,기타,"/Volumes/Untitled/업로드 전/2026학년도 수시 모집요강_5.zip","/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_수시_모집요강_5.zip",229.91
3,기타,"/Volumes/Untitled/업로드 전/26학년도 수시모집요강_2.zip","/Volumes/Untitled/업로드 후보_v2/기타/26학년도_수시모집요강_2.zip",193.49
3,기타,"/Volumes/Untitled/업로드 전/김영일교육컨설팅 2026학년도 데이터로 읽는 수시 전형 책자(최종) (1).pdf","/Volumes/Untitled/업로드 후보_v2/기타/김영일교육컨설팅_2026학년도_데이터로_읽는_수시_전형_책자(최종)_(1).pdf",190.46
3,기타,"/Volumes/Untitled/업로드 전/20220513_박윤수_소행성_편광.pptx","/Volumes/Untitled/업로드 후보_v2/기타/20220513_박윤수_소행성_편광.pptx",185.10
3,기타,"/Volumes/Untitled/업로드 전/2026학년도 수시 모집요강_4.zip","/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_수시_모집요강_4.zip",184.03
3,기타,"/Volumes/Untitled/업로드 전/26학년도 수시 모집요강_1.zip","/Volumes/Untitled/업로드 후보_v2/기타/26학년도_수시_모집요강_1.zip",143.82
3,기타,"/Volumes/Untitled/업로드 전/CHA  미래교육협의체 학부모대상 프로그램-2부(260127)_인항고 허진석 선생님_20260128.pdf","/Volumes/Untitled/업로드 후보_v2/기타/CHA_미래교육협의체_학부모대상_프로그램-2부(260127)_인항고_허진석_선생님_20260128.pdf",137.52
3,기타,"/Volumes/Untitled/업로드 전/20220903-태양진동학-강수상.pptx","/Volumes/Untitled/업로드 후보_v2/기타/20220903-태양진동학-강수상.pptx",131.10
3,기타,"/Volumes/Untitled/업로드 전/2022 개정 교육과정 고등학교 과목 선택 안내서(2025.5.22.).pdf","/Volumes/Untitled/업로드 후보_v2/기타/2022_개정_교육과정_고등학교_과목_선택_안내서(2025.5.22.).pdf",121.74
3,기타,"/Volumes/Untitled/업로드 전/20190809-소행성_류구-박윤수.pptx","/Volumes/Untitled/업로드 후보_v2/기타/20190809-소행성_류구-박윤수.pptx",120.58
