rank,priority,category_hint,title,file_type,size_mb,candidate_path
1,3,기타,"수특영어 part1",zip,280.96,"/Volumes/Untitled/업로드 후보_v2/기타/수특영어_part1.zip"
2,3,기타,"인천광역시교육청 초등 수학 씨리즈2 20222 개정 교육과정",zip,264.94,"/Volumes/Untitled/업로드 후보_v2/기타/인천광역시교육청_초등_수학_씨리즈2_20222_개정_교육과정.zip"
3,3,기타,"대학 전공별 경력 가이드 취합",zip,258.46,"/Volumes/Untitled/업로드 후보_v2/기타/대학_전공별_경력_가이드_취합.zip"
4,3,기타,"2026학년도 수시 모집요강 3",zip,243.58,"/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_수시_모집요강_3.zip"
5,3,기타,"2026학년도 수시 모집요강 5",zip,229.91,"/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_수시_모집요강_5.zip"
6,3,기타,"26학년도 수시모집요강 2",zip,193.49,"/Volumes/Untitled/업로드 후보_v2/기타/26학년도_수시모집요강_2.zip"
7,3,기타,"김영일교육컨설팅 2026학년도 데이터로 읽는 수시 전형 책자(최종) (1)",pdf,190.46,"/Volumes/Untitled/업로드 후보_v2/기타/김영일교육컨설팅_2026학년도_데이터로_읽는_수시_전형_책자(최종)_(1).pdf"
8,3,기타,"20220513 박윤수 소행성 편광",pptx,185.10,"/Volumes/Untitled/업로드 후보_v2/기타/20220513_박윤수_소행성_편광.pptx"
9,3,기타,"2026학년도 수시 모집요강 4",zip,184.03,"/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_수시_모집요강_4.zip"
10,3,기타,"26학년도 수시 모집요강 1",zip,143.82,"/Volumes/Untitled/업로드 후보_v2/기타/26학년도_수시_모집요강_1.zip"
11,3,기타,"CHA 미래교육협의체 학부모대상 프로그램-2부(260127) 인항고 허진석 선생님 20260128",pdf,137.52,"/Volumes/Untitled/업로드 후보_v2/기타/CHA_미래교육협의체_학부모대상_프로그램-2부(260127)_인항고_허진석_선생님_20260128.pdf"
12,3,기타,"20220903-태양진동학-강수상",pptx,131.10,"/Volumes/Untitled/업로드 후보_v2/기타/20220903-태양진동학-강수상.pptx"
13,3,기타,"2022 개정 교육과정 고등학교 과목 선택 안내서(2025.5.22.)",pdf,121.74,"/Volumes/Untitled/업로드 후보_v2/기타/2022_개정_교육과정_고등학교_과목_선택_안내서(2025.5.22.).pdf"
14,3,기타,"20190809-소행성 류구-박윤수",pptx,120.58,"/Volumes/Untitled/업로드 후보_v2/기타/20190809-소행성_류구-박윤수.pptx"
15,3,기타,"숲의 초록빛 약속 Google Gemini GEM Storybook 만들기(1) 20250820",pdf,103.79,"/Volumes/Untitled/업로드 후보_v2/기타/숲의_초록빛_약속_Google_Gemini_GEM_Storybook_만들기(1)_20250820.pdf"
16,3,기타,"[역사]한눈에 펼쳐보는 역사",pdf,101.86,"/Volumes/Untitled/업로드 후보_v2/기타/[역사]한눈에_펼쳐보는_역사.pdf"
17,3,기타,"초등음악 수업지원자료 본문(티솔용)",pdf,100.33,"/Volumes/Untitled/업로드 후보_v2/기타/초등음악_수업지원자료_본문(티솔용).pdf"
18,3,기타,"초등체육 게임활동집-56학년(돈보 삭제)",pdf,93.29,"/Volumes/Untitled/업로드 후보_v2/기타/초등체육_게임활동집-56학년(돈보_삭제).pdf"
19,3,기타,"2026학년도 광주광역시 직업계 고등학교 입학전형 기본 계획 설명회",pdf,93.28,"/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_광주광역시_직업계_고등학교_입학전형_기본_계획_설명회.pdf"
20,3,기타,"학부모님 편지 응원전",pptx,88.30,"/Volumes/Untitled/업로드 후보_v2/기타/학부모님_편지_응원전.pptx"
21,3,기타,"20210917 박윤수 소행성 Phaethon",pptx,74.47,"/Volumes/Untitled/업로드 후보_v2/기타/20210917_박윤수_소행성_Phaethon.pptx"
22,3,기타,"2026학년도 대입전형의 이해와 대비(대교협)",pptx,69.82,"/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_대입전형의_이해와_대비(대교협).pptx"
23,3,기타,"초등 깊이있는 수업이야기 다함께 나누다 8월호",pdf,67.98,"/Volumes/Untitled/업로드 후보_v2/기타/초등_깊이있는_수업이야기_다함께_나누다_8월호.pdf"
24,3,기타,"2-1.꿈을 디자인하는 진로·진학·직업 로드맵 (중학교) 인천광역시교육청",pdf,65.70,"/Volumes/Untitled/업로드 후보_v2/기타/2-1.꿈을_디자인하는_진로·진학·직업_로드맵_(중학교)_인천광역시교육청.pdf"
25,3,기타,"초등실과 특화자료 최종",pdf,65.70,"/Volumes/Untitled/업로드 후보_v2/기타/초등실과_특화자료_최종.pdf"
26,3,기타,"20240914 중력파 사냥꾼과 은하 금광의 비밀 백승학",pdf,63.09,"/Volumes/Untitled/업로드 후보_v2/기타/20240914_중력파_사냥꾼과_은하_금광의_비밀_백승학.pdf"
27,3,기타,"★(초등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료",hwp,60.38,"/Volumes/Untitled/업로드 후보_v2/기타/★(초등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp"
28,3,기타,"2. [교사용] 고교학점제 워크북 교사용 가이드",pdf,58.45,"/Volumes/Untitled/업로드 후보_v2/기타/2._[교사용]_고교학점제_워크북_교사용_가이드.pdf"
29,3,기타,"초등사회 브로마이드 3종 (590880) OK",pdf,57.04,"/Volumes/Untitled/업로드 후보_v2/기타/초등사회_브로마이드_3종_(590880)_OK.pdf"
30,3,기타,"고등학생을 위한 진로연계교육(수능전) 서울특별시교육청",pdf,54.70,"/Volumes/Untitled/업로드 후보_v2/기타/고등학생을_위한_진로연계교육(수능전)_서울특별시교육청.pdf"
31,3,기타,"1.조직관리 제공자료 홍재기",zip,53.97,"/Volumes/Untitled/업로드 후보_v2/기타/1.조직관리_제공자료_홍재기.zip"
32,3,기타,"250428 CIBM 케이스모킬러 리플렛 수정",pdf,53.78,"/Volumes/Untitled/업로드 후보_v2/기타/250428_CIBM_케이스모킬러_리플렛_수정.pdf"
33,3,기타,"모두의 진로 수업 자료(PPT) 중학생용",zip,50.77,"/Volumes/Untitled/업로드 후보_v2/기타/모두의_진로_수업_자료(PPT)_중학생용.zip"
34,3,기타,"[교과서] 고등 독서와 작문 - 해냄에듀.vol1",egg,50.00,"/Volumes/Untitled/업로드 후보_v2/기타/[교과서]_고등_독서와_작문_-_해냄에듀.vol1.egg"
35,3,기타,"2026 수시 대학별 입학설명회 한양경희동국서강",pdf,49.31,"/Volumes/Untitled/업로드 후보_v2/기타/2026_수시_대학별_입학설명회_한양경희동국서강.pdf"
36,3,기타,"[모두의 진로] 교사용 매뉴얼 중학교",pdf,48.67,"/Volumes/Untitled/업로드 후보_v2/기타/[모두의_진로]_교사용_매뉴얼_중학교.pdf"
37,3,기타,"학교생활기록부 작성을 위한 최종 체크리스트- 별가람고 전소영",pdf,48.15,"/Volumes/Untitled/업로드 후보_v2/기타/학교생활기록부_작성을_위한_최종_체크리스트-_별가람고_전소영.pdf"
38,3,기타,"1. [학생용] 고교학점제 워크북",pdf,47.97,"/Volumes/Untitled/업로드 후보_v2/기타/1._[학생용]_고교학점제_워크북.pdf"
39,3,기타,"2024학년도 중1~3학년 학부모 대상 고교학점제 설명회 강의자료",pdf,46.62,"/Volumes/Untitled/업로드 후보_v2/기타/2024학년도_중1~3학년_학부모_대상_고교학점제_설명회_강의자료.pdf"
40,3,기타,"행복한교육 2025년 가을호(낱장)",pdf,46.56,"/Volumes/Untitled/업로드 후보_v2/기타/행복한교육_2025년_가을호(낱장).pdf"
41,3,기타,"[현대시] 2권과제장",zip,44.42,"/Volumes/Untitled/업로드 후보_v2/기타/[현대시]_2권과제장.zip"
42,3,기타,"수 감각 활동지",pdf,43.59,"/Volumes/Untitled/업로드 후보_v2/기타/수_감각_활동지.pdf"
43,3,기타,"2026학년도 광주광역시 고등학교 입학전형 기본계획 설명회(학부모 대상)",pdf,40.60,"/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_광주광역시_고등학교_입학전형_기본계획_설명회(학부모_대상).pdf"
44,3,기타,"읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory) (1)",pdf,38.67,"/Volumes/Untitled/업로드 후보_v2/기타/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory)_(1).pdf"
45,3,기타,"읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory)",pdf,38.67,"/Volumes/Untitled/업로드 후보_v2/기타/읽기+유창성과+독해력+향상을+위한+읽기+검사지(KICE+Reading+Inventory).pdf"
46,3,기타,"2026학년도 대수능 영어 듣기음원",zip,37.95,"/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_대수능_영어_듣기음원.zip"
47,3,기타,"[모두의 진로] 학생용 워크북 중학교 수정본",pdf,36.22,"/Volumes/Untitled/업로드 후보_v2/기타/[모두의_진로]_학생용_워크북_중학교_수정본.pdf"
48,3,기타,"★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료",hwp,33.60,"/Volumes/Untitled/업로드 후보_v2/기타/★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp"
49,3,기타,"[현대시] 1권과제장",zip,32.37,"/Volumes/Untitled/업로드 후보_v2/기타/[현대시]_1권과제장.zip"
50,3,기타,"사서와 함께 행복한 책읽기 2025년 가을호 경기도교육청도서관",pdf,31.49,"/Volumes/Untitled/업로드 후보_v2/기타/사서와_함께_행복한_책읽기_2025년_가을호_경기도교육청도서관.pdf"
