rank,priority,category_hint,title,file_type,size_mb,candidate_path
1,3,입시_진학,"김영일교육컨설팅 2026학년도 데이터로 읽는 수시 전형 책자(최종) (1)",pdf,190.46,"/Volumes/Untitled/업로드 후보_v2/기타/김영일교육컨설팅_2026학년도_데이터로_읽는_수시_전형_책자(최종)_(1).pdf"
2,3,기타,"20220513 박윤수 소행성 편광",pptx,185.10,"/Volumes/Untitled/업로드 후보_v2/기타/20220513_박윤수_소행성_편광.pptx"
3,3,상담_학부모,"CHA 미래교육협의체 학부모대상 프로그램-2부(260127) 인항고 허진석 선생님 20260128",pdf,137.52,"/Volumes/Untitled/업로드 후보_v2/기타/CHA_미래교육협의체_학부모대상_프로그램-2부(260127)_인항고_허진석_선생님_20260128.pdf"
4,3,기타,"20220903-태양진동학-강수상",pptx,131.10,"/Volumes/Untitled/업로드 후보_v2/기타/20220903-태양진동학-강수상.pptx"
5,3,정책_공문,"2022 개정 교육과정 고등학교 과목 선택 안내서(2025.5.22.)",pdf,121.74,"/Volumes/Untitled/업로드 후보_v2/기타/2022_개정_교육과정_고등학교_과목_선택_안내서(2025.5.22.).pdf"
6,3,기타,"20190809-소행성 류구-박윤수",pptx,120.58,"/Volumes/Untitled/업로드 후보_v2/기타/20190809-소행성_류구-박윤수.pptx"
7,3,기타,"숲의 초록빛 약속 Google Gemini GEM Storybook 만들기(1) 20250820",pdf,103.79,"/Volumes/Untitled/업로드 후보_v2/기타/숲의_초록빛_약속_Google_Gemini_GEM_Storybook_만들기(1)_20250820.pdf"
8,3,기타,"[역사]한눈에 펼쳐보는 역사",pdf,101.86,"/Volumes/Untitled/업로드 후보_v2/기타/[역사]한눈에_펼쳐보는_역사.pdf"
9,3,수업_교재,"초등음악 수업지원자료 본문(티솔용)",pdf,100.33,"/Volumes/Untitled/업로드 후보_v2/기타/초등음악_수업지원자료_본문(티솔용).pdf"
10,3,기타,"초등체육 게임활동집-56학년(돈보 삭제)",pdf,93.29,"/Volumes/Untitled/업로드 후보_v2/기타/초등체육_게임활동집-56학년(돈보_삭제).pdf"
11,3,입시_진학,"2026학년도 광주광역시 직업계 고등학교 입학전형 기본 계획 설명회",pdf,93.28,"/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_광주광역시_직업계_고등학교_입학전형_기본_계획_설명회.pdf"
12,3,상담_학부모,"학부모님 편지 응원전",pptx,88.30,"/Volumes/Untitled/업로드 후보_v2/기타/학부모님_편지_응원전.pptx"
13,3,기타,"20210917 박윤수 소행성 Phaethon",pptx,74.47,"/Volumes/Untitled/업로드 후보_v2/기타/20210917_박윤수_소행성_Phaethon.pptx"
14,3,입시_진학,"2026학년도 대입전형의 이해와 대비(대교협)",pptx,69.82,"/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_대입전형의_이해와_대비(대교협).pptx"
15,3,수업_교재,"초등 깊이있는 수업이야기 다함께 나누다 8월호",pdf,67.98,"/Volumes/Untitled/업로드 후보_v2/기타/초등_깊이있는_수업이야기_다함께_나누다_8월호.pdf"
16,3,입시_진학,"2-1.꿈을 디자인하는 진로·진학·직업 로드맵 (중학교) 인천광역시교육청",pdf,65.70,"/Volumes/Untitled/업로드 후보_v2/기타/2-1.꿈을_디자인하는_진로·진학·직업_로드맵_(중학교)_인천광역시교육청.pdf"
17,3,기타,"초등실과 특화자료 최종",pdf,65.70,"/Volumes/Untitled/업로드 후보_v2/기타/초등실과_특화자료_최종.pdf"
18,3,기타,"20240914 중력파 사냥꾼과 은하 금광의 비밀 백승학",pdf,63.09,"/Volumes/Untitled/업로드 후보_v2/기타/20240914_중력파_사냥꾼과_은하_금광의_비밀_백승학.pdf"
19,3,정책_공문,"★(초등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료",hwp,60.38,"/Volumes/Untitled/업로드 후보_v2/기타/★(초등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp"
20,3,정책_공문,"2. [교사용] 고교학점제 워크북 교사용 가이드",pdf,58.45,"/Volumes/Untitled/업로드 후보_v2/기타/2._[교사용]_고교학점제_워크북_교사용_가이드.pdf"
21,3,기타,"초등사회 브로마이드 3종 (590880) OK",pdf,57.04,"/Volumes/Untitled/업로드 후보_v2/기타/초등사회_브로마이드_3종_(590880)_OK.pdf"
22,3,입시_진학,"고등학생을 위한 진로연계교육(수능전) 서울특별시교육청",pdf,54.70,"/Volumes/Untitled/업로드 후보_v2/기타/고등학생을_위한_진로연계교육(수능전)_서울특별시교육청.pdf"
